,Title,"Band Gap, HSE06","Dielectric Constant, Electronic",EBE
695,C3H10NGeI3,3.41,3.8,2.8330731030965395
697,C3H10NGeI3,3.46,3.71,2.8547425264793214
699,C3H10NGeI3,2.54,4.18,2.0632009116500325
701,C4H12NGeI3,2.77,3.79,2.190024617533575
703,C4H12NGeI3,2.76,3.8,2.183073103096539
705,C4H12NGeI3,2.88,3.83,2.3120757254268574
707,C4H12NGeI3,3.32,3.46,2.6241177126460977
709,C3H10NGeI3,2.72,4.07,2.21707970520281
711,C3H10NGeI3,2.62,4.19,2.1454740864265998
713,C3H10NGeI3,2.45,4.23,1.984406139234782
715,C3H10NGeI3,2.47,4.21,1.999971937007466
717,C3H10NGeI3,3.27,3.86,2.71086925881997
719,C3H10NGeI3,3.39,3.86,2.83086925881997
721,C3H10NGeI3,3.25,3.86,2.69086925881997
723,C3H10NGeI3,3.35,3.89,2.799460128383637
725,C3H10NGeI3,3.27,4.04,2.7595828600574714
727,C3H10NGeI3,3.4,4.01,2.881917127922962
729,C2H8NGeI3,2.55,4.43,2.1254972310031652
731,C2H8NGeI3,2.56,4.44,2.1374072522884724
733,C2H8NGeI3,2.57,4.42,2.1435742311128982
735,C2H8NGeI3,2.22,4.6,1.8262937433229691
737,C2H8NGeI3,3.14,4.36,2.7017569864023456
739,C2H8NGeI3,3.19,4.38,2.7557500682176155
741,C2H8NGeI3,3.34,4.05,2.832100326701053
743,C2H8NGeI3,3.21,4.33,2.7656632980449
745,C2H7N2GeI3,2.44,4.41,2.0116381347645285
747,C2H7N2GeI3,2.47,4.38,2.0357500682176157
749,C2H7N2GeI3,2.31,4.54,1.9058186462338695
751,C2H7N2GeI3,3.14,4.39,2.7077261745587675
753,C2H7N2GeI3,3.17,4.42,2.7435742311128983
755,C2H7N2GeI3,3.38,4.2,2.9077310435778925
757,CH6NGeI3,1.97,5.33,1.6767530108069664
759,CH6NGeI3,2.03,5.28,1.731172793586218
761,CH6NGeI3,2.97,4.84,2.6143709279042597
763,CH6NGeI3,3.01,4.61,2.617999943945023
765,CH6NGeI3,2.8,4.94,2.458623137926946
767,CH6NGeI3,2.89,4.94,2.5486231379269464
769,CH6N3GeI3,2.23,4.71,1.8544686784099433
771,CH6N3GeI3,2.27,4.88,1.920177019312434
773,CH6N3GeI3,2.85,4.73,2.4776377049338274
775,H4NOGe3I,2.11,5.55,1.839540641464622
777,H4NOGe3I,2.55,5.66,2.2899510422378238
779,H4NOGe3I,2.56,5.63,2.297172266332481
781,H4NOGe3I,2.47,5.72,2.215378001635594
783,H4NOGe3I,2.91,5.36,2.620026439933519
785,H4NOGe3I,3.02,5.04,2.692035446929092
787,H4NOGe3I,2.92,5.54,2.6485633726724584
789,CH5N2GeI3,1.97,5.16,1.6571122381735632
791,CH5N2GeI3,2.03,5.19,1.7207189833982657
793,CH5N2GeI3,3.43,4.19,2.9554740864266
795,C4H12NGeI3,2.62,3.96,2.0887516330421656
797,C4H12NGeI3,3.38,3.57,2.726340544744488
799,H5N2GeI3,1.88,5.63,1.6171722663324812
801,H5N2GeI3,2.52,5.36,2.230026439933519
803,H5N2GeI3,1.92,5.74,1.6671492797264147
805,H5N2GeI3,2.73,5.2,2.421907381979069
807,H5N2GeI3,3.11,4.96,2.771370626654934
809,H5N2GeI3,3.21,4.95,2.870001045146986
811,H5N2GeI3,2.72,5.41,2.4353616260951014
813,H5N2GeI3,2.59,5.31,2.2945398338321263
815,H5N2GeI3,3.28,4.92,2.9358420751831753
817,H5N2GeI3,2.68,5.45,2.399524471297501
819,H5N2GeI3,2.63,5.27,2.330037648524786
